Year,Factor,Value
1869,Flaring CO2,0.0
1869,Other Industry CO2,0.0
1870,Cement CO2,0.0
1870,Coal CO2,0.529404
1870,Gas CO2,0.0
1870,Oil CO2,0.003133
1870,Flaring CO2,0.0
1870,Other Industry CO2,0.0
1871,Cement CO2,0.0
1871,Coal CO2,0.562861
1871,Gas CO2,0.0
1871,Oil CO2,0.003282
1871,Flaring CO2,0.0
1871,Other Industry CO2,0.0
1872,Cement CO2,0.0
1872,Coal CO2,0.622674
1872,Gas CO2,0.0
1872,Oil CO2,0.003698
1872,Flaring CO2,0.0
1872,Other Industry CO2,0.0
1873,Cement CO2,0.0
1873,Coal CO2,0.659749
1873,Gas CO2,0.0
1873,Oil CO2,0.00567
1873,Flaring CO2,0.0
1873,Other Industry CO2,0.0
1874,Cement CO2,0.0
1874,Coal CO2,0.616754
1874,Gas CO2,0.0
1874,Oil CO2,0.006243
1874,Flaring CO2,0.0
1874,Other Industry CO2,0.0
1875,Cement CO2,0.0
1875,Coal CO2,0.669964
1875,Gas CO2,0.0
1875,Oil CO2,0.005835
1875,Flaring CO2,0.0
1875,Other Industry CO2,0.0
1876,Cement CO2,0.0
1876,Coal CO2,0.6790170000000001
1876,Gas CO2,0.0
1876,Oil CO2,0.006535999999999999
1876,Flaring CO2,0.0
1876,Other Industry CO2,0.0
1877,Cement CO2,0.0
1877,Coal CO2,0.690274
1877,Gas CO2,0.0
1877,Oil CO2,0.008824
1877,Flaring CO2,0.0
1877,Other Industry CO2,0.0
1878,Cement CO2,0.0
1878,Coal CO2,0.694339
1878,Gas CO2,0.0
1878,Oil CO2,0.010041
1878,Flaring CO2,0.0
1878,Other Industry CO2,0.0
1879,Cement CO2,0.0
1879,Coal CO2,0.742208
1879,Gas CO2,0.0
1879,Oil CO2,0.01266
1879,Flaring CO2,0.0
1879,Other Industry CO2,0.0
1880,Cement CO2,0.0
1880,Coal CO2,0.8383400000000001
1880,Gas CO2,0.0
1880,Oil CO2,0.015364000000000001
1880,Flaring CO2,0.0
1880,Other Industry CO2,0.0
1881,Cement CO2,0.0
1881,Coal CO2,0.865162
1881,Gas CO2,0.0
1881,Oil CO2,0.017242
1881,Flaring CO2,0.0
1881,Other Industry CO2,0.0
1882,Cement CO2,0.0
1882,Coal CO2,0.912817
1882,Gas CO2,0.000165
1882,Oil CO2,0.018939
1882,Flaring CO2,0.0
1882,Other Industry CO2,0.0
1883,Cement CO2,0.0
1883,Coal CO2,0.974149
1883,Gas CO2,0.000381
1883,Oil CO2,0.016502
1883,Flaring CO2,0.0
1883,Other Industry CO2,0.0
1884,Cement CO2,0.0
1884,Coal CO2,0.982679
1884,Gas CO2,0.0011719999999999999
1884,Oil CO2,0.018323
1884,Flaring CO2,0.0
1884,Other Industry CO2,0.0
1885,Cement CO2,0.0
1885,Coal CO2,0.986996
1885,Gas CO2,0.003715
1885,Oil CO2,0.018959
1885,Flaring CO2,0.0
1885,Other Industry CO2,0.0
1886,Cement CO2,0.0
1886,Coal CO2,0.995975
1886,Gas CO2,0.0076760000000000005
1886,Oil CO2,0.021824000000000003
1886,Flaring CO2,0.0
1886,Other Industry CO2,0.0
1887,Cement CO2,1e-06
1887,Coal CO2,1.041488
1887,Gas CO2,0.011787
1887,Oil CO2,0.023482
1887,Flaring CO2,0.0
1887,Other Industry CO2,0.0
1888,Cement CO2,1e-06
1888,Coal CO2,1.150917
1888,Gas CO2,0.016774
1888,Oil CO2,0.024581
1888,Flaring CO2,0.0
1888,Other Industry CO2,0.0
1889,Cement CO2,1e-06
1889,Coal CO2,1.151165
1889,Gas CO2,0.012227
1889,Oil CO2,0.028407
1889,Flaring CO2,0.0
1889,Other Industry CO2,0.0
1890,Cement CO2,1e-06
1890,Coal CO2,1.2521179999999998
1890,Gas CO2,0.011688
1890,Oil CO2,0.034651
1890,Flaring CO2,0.0
1890,Other Industry CO2,0.0
1891,Cement CO2,1e-06
1891,Coal CO2,1.309094
1891,Gas CO2,0.008946999999999998
1891,Oil CO2,0.040832
1891,Flaring CO2,0.0
1891,Other Industry CO2,0.0
1892,Cement CO2,1e-06
1892,Coal CO2,1.322106
1892,Gas CO2,0.007775000000000001
1892,Oil CO2,0.040207
1892,Flaring CO2,0.0
1892,Other Industry CO2,0.0
1893,Cement CO2,1e-06
1893,Coal CO2,1.303833
1893,Gas CO2,0.007288
1893,Oil CO2,0.042546999999999995
1893,Flaring CO2,0.0
1893,Other Industry CO2,0.0
1894,Cement CO2,1e-06
1894,Coal CO2,1.3524580000000002
1894,Gas CO2,0.006698000000000001
1894,Oil CO2,0.041701999999999996
1894,Flaring CO2,0.0
1894,Other Industry CO2,0.0
1895,Cement CO2,1e-06
1895,Coal CO2,1.429691
1895,Gas CO2,0.007042
1895,Oil CO2,0.048539
1895,Flaring CO2,0.0
1895,Other Industry CO2,0.0
1896,Cement CO2,1e-06
1896,Coal CO2,1.474281
1896,Gas CO2,0.006848
1896,Oil CO2,0.052571
1896,Flaring CO2,0.0
1896,Other Industry CO2,0.0
1897,Cement CO2,1e-06
1897,Coal CO2,1.543481
1897,Gas CO2,0.007288
1897,Oil CO2,0.055531
1897,Flaring CO2,0.0
1897,Other Industry CO2,0.0
1898,Cement CO2,1e-06
1898,Coal CO2,1.628632
1898,Gas CO2,0.00846
1898,Oil CO2,0.057173
1898,Flaring CO2,0.0
1898,Other Industry CO2,0.0
1899,Cement CO2,1e-06
1899,Coal CO2,1.77986
1899,Gas CO2,0.010904
1899,Oil CO2,0.060031999999999995
1899,Flaring CO2,0.0
1899,Other Industry CO2,0.0
1900,Cement CO2,1e-06
1900,Coal CO2,1.873357
1900,Gas CO2,0.011542
1900,Oil CO2,0.06731000000000001
1900,Flaring CO2,0.0
1900,Other Industry CO2,0.0
1901,Cement CO2,2e-06
1901,Coal CO2,1.929132
1901,Gas CO2,0.012861000000000001
1901,Oil CO2,0.07475
1901,Flaring CO2,0.0
1901,Other Industry CO2,0.0
1902,Cement CO2,2e-06
1902,Coal CO2,1.973178
1902,Gas CO2,0.013696
1902,Oil CO2,0.080808
1902,Flaring CO2,0.0
1902,Other Industry CO2,0.0
1903,Cement CO2,3e-06
1903,Coal CO2,2.1540030000000003
1903,Gas CO2,0.014528000000000001
1903,Oil CO2,0.085562
